ID,ACtivity
608,4
609,2
610,3
611,0
612,1
613,5
614,5
615,1
616,2
617,3
618,1
619,2
620,4
621,5
622,0
623,0
624,5
625,2
626,0
627,4
628,4
629,1
630,1
631,1
632,4
633,0
634,2
635,0
636,3
637,4
638,5
639,3
640,3
641,4
642,4
643,4
644,1
645,4
646,0
647,2
648,5
649,3
650,2
651,1
652,3
653,4
654,3
655,5
656,3
657,3
658,4
659,4
660,2
661,3
662,0
663,0
664,0
665,1
666,3
667,3
668,3
669,3
670,0
671,3
672,3
673,4
674,2
675,4
676,0
677,3
678,4
679,2
680,2
681,5
682,0
683,3
684,3
685,0
686,2
687,3
688,2
689,5
690,0
691,1
692,0
693,1
694,3
695,4
696,4
697,0
698,5
699,5
700,2
701,1
702,5
703,3
704,0
705,0
706,3
707,4
708,3
709,3
710,5
711,5
712,3
713,1
714,0
715,3
716,3
717,0
718,0
719,2
720,4
721,0
722,4
723,4
724,5
725,1
726,0
727,1
728,0
729,4
730,4
731,1
732,0
733,5
734,1
735,2
736,1
737,4
738,0
739,4
740,4
741,4
742,4
743,2
744,4
745,3
746,0
747,0
748,5
749,4
750,5
751,4
752,2
753,0
754,1
755,2
756,4
757,0
758,4
759,4
760,2
761,4
762,3
763,3
764,2
765,3
766,4
767,2
768,0
769,4
770,0
771,5
772,1
773,4
774,2
775,5
776,5
777,0
778,5
779,1
780,1
781,4
782,5
783,4
784,0
785,3
786,4
787,0
788,2
789,4
790,4
791,5
792,5
793,4
794,4
795,4
796,4
797,4
798,0
799,2
800,4
801,3
802,0
803,1
804,2
805,4
806,3
807,5
808,3
809,4
810,4
811,2
812,4
813,5
814,5
815,3
816,5
817,2
818,5
819,5
820,2
821,1
822,2
823,4
824,1
825,4
826,5
827,3
828,3
829,0
830,5
831,2
832,5
833,4
834,4
835,4
836,5
837,2
838,0
839,4
840,4
841,1
842,4
843,5
844,2
845,0
846,1
847,2
848,4
849,3
850,1
851,3
852,5
853,2
854,5
855,3
856,5
857,0
858,3
859,0
860,2
861,3
862,1
863,4
864,5
865,5
866,5
867,1
868,3
869,1
870,4
871,1
872,1
873,3
874,1
875,0
876,1
877,3
878,4
879,3
880,4
881,5
882,4
883,4
884,5
885,3
886,3
887,1
888,2
889,2
890,5
891,2
892,4
893,3
894,5
895,0
896,5
897,2
898,0
899,4
900,4
901,5
902,2
903,2
904,0
905,3
906,1
907,3
908,3
909,1
910,4
911,4
912,0
913,2
914,3
915,4
916,2
917,2
918,0
919,0
920,3
921,4
922,2
923,4
924,2
925,0
926,4
927,5
928,5
929,1
930,0
931,0
932,5
933,0
934,2
935,3
936,2
937,1
938,3
939,3
940,4
941,0
942,3
943,4
944,0
945,0
946,0
947,4
948,3
949,1
950,5
951,5
952,3
953,0
954,3
955,5
956,0
957,2
958,0
959,0
960,5
961,3
962,4
963,3
964,3
965,3
966,5
967,3
968,2
969,3
970,4
971,5
972,5
973,3
974,2
975,1
976,0
977,4
978,3
979,4
980,0
981,0
982,0
983,4
984,4
985,5
986,0
987,2
988,3
989,1
990,0
991,2
992,3
993,0
994,4
995,4
996,3
997,3
998,5
999,2
1000,4
1001,5
1002,3
1003,0
1004,0
1005,3
1006,4
1007,2
1008,2
1009,4
1010,1
1011,3
1012,0
1013,5
1014,2
1015,0
1016,1
1017,0
1018,1
1019,2
1020,1
1021,5
1022,3
1023,5
1024,4
1025,1
1026,1
1027,5
1028,5
1029,3
1030,5
1031,2
1032,4
1033,3
1034,4
1035,3
1036,3
1037,0
1038,0
1039,3
1040,4
1041,5
1042,4
1043,3
1044,4
1045,0
1046,1
1047,1
1048,1
1049,3
1050,0
1051,5
1052,3
1053,1
1054,1
1055,0
1056,4
1057,1
1058,5
1059,2
1060,4
1061,0
1062,0
1063,5
1064,1
1065,0
1066,1
1067,0
1068,5
1069,3
1070,2
1071,5
1072,0
1073,5
1074,0
1075,5
1076,3
1077,5
1078,0
1079,1
1080,0
1081,2
1082,2
1083,1
1084,4
1085,3
1086,3
1087,5
1088,4
1089,5
1090,3
1091,4
1092,4
1093,5
1094,1
1095,1
1096,3
1097,0
1098,5
1099,3
1100,3
1101,5
1102,0
1103,3
1104,3
1105,4
1106,1
1107,3
1108,5
1109,2
1110,3
1111,2
1112,1
1113,4
1114,1
1115,1
1116,4
1117,3
1118,0
1119,5
1120,5
1121,1
1122,1
1123,0
1124,3
1125,5
1126,5
1127,0
1128,4
1129,0
1130,1
1131,3
1132,5
1133,3
1134,1
1135,3
1136,4
1137,1
1138,4
1139,2
1140,3
1141,0
1142,4
1143,5
1144,1
1145,1
1146,1
1147,4
1148,1
1149,4
1150,3
1151,2
1152,4
1153,4
1154,0
1155,0
1156,2
1157,1
1158,3
1159,5
1160,3
1161,0
1162,5
1163,5
1164,5
1165,5
1166,3
1167,4
1168,5
1169,5
1170,4
1171,3
1172,3
1173,2
1174,5
1175,2
1176,2
1177,1
1178,4
1179,5
1180,1
1181,5
1182,3
1183,1
1184,4
1185,3
1186,4
1187,4
1188,0
1189,0
1190,3
1191,3
1192,1
1193,4
1194,1
1195,5
1196,3
1197,2
1198,1
1199,1
1200,3
1201,1
1202,3
1203,0
1204,4
1205,5
1206,1
1207,3
1208,3
1209,0
1210,4
1211,3
1212,4
1213,3
1214,4
1215,2
1216,2
1217,3
1218,3
1219,2
1220,5
1221,2
1222,5
1223,0
1224,4
1225,2
1226,1
1227,5
1228,5
1229,2
1230,3
1231,4
1232,3
1233,5
1234,0
1235,5
1236,1
1237,2
1238,3
1239,3
1240,3
1241,4
1242,2
1243,5
1244,3
1245,5
1246,3
1247,3
1248,1
1249,1
1250,0
1251,5
1252,0
1253,5
1254,1
1255,5
1256,4
1257,0
1258,0
1259,0
1260,3
1261,3
1262,3
1263,2
1264,1
1265,0
1266,1
1267,2
1268,4
1269,0
1270,1
1271,4
1272,4
1273,5
1274,5
1275,0
1276,4
1277,3
1278,3
1279,2
1280,3
1281,5
1282,2
1283,1
1284,1
1285,2
1286,3
1287,2
1288,5
1289,0
1290,2
1291,0
1292,1
1293,5
1294,3
1295,1
1296,4
1297,1
1298,4
1299,2
1300,0
1301,0
1302,3
1303,4
1304,0
1305,4
1306,4
1307,4
1308,5
1309,5
1310,1
1311,0
1312,0
1313,5
1314,0
1315,4
1316,3
1317,2
1318,2
1319,1
1320,3
1321,3
1322,1
1323,3
1324,3
1325,1
1326,5
1327,5
1328,1
1329,3
1330,1
1331,4
1332,1
1333,1
1334,3
1335,0
1336,4
1337,0
1338,3
1339,1
1340,3
1341,0
1342,4
1343,5
1344,4
1345,4
1346,0
1347,4
1348,4
1349,4
1350,5
1351,2
1352,2
1353,0
1354,1
1355,4
1356,5
1357,2
1358,4
1359,5
1360,4
1361,4
1362,1
1363,3
1364,0
1365,3
1366,1
1367,3
1368,4
1369,2
1370,2
1371,1
1372,2
1373,0
1374,4
1375,3
1376,3
1377,3
1378,2
1379,0
1380,3
1381,1
1382,3
1383,4
1384,1
1385,0
1386,2
1387,3
1388,4
1389,5
1390,0
1391,3
1392,4
1393,2
1394,0
1395,2
1396,4
1397,5
1398,1
1399,0
1400,0
1401,5
1402,5
1403,4
1404,3
1405,0
1406,1
1407,2
1408,3
1409,4
1410,5
1411,1
1412,4
1413,4
1414,5
1415,0
1416,2
1417,2
1418,5
1419,1
1420,5
1421,3
1422,3
1423,4
1424,3
1425,5
1426,0
1427,0
1428,3
1429,3
1430,3
1431,4
1432,1
1433,2
1434,2
1435,3
1436,2
1437,5
1438,0
1439,1
1440,0
1441,2
1442,0
1443,0
1444,5
1445,3
1446,4
1447,4
1448,0
1449,2
1450,4
1451,2
1452,1
1453,1
1454,4
1455,2
1456,4
1457,1
1458,0
1459,1
1460,4
1461,5
1462,2
1463,2
1464,5
1465,4
1466,5
1467,4
1468,2
1469,3
1470,2
